UID,Chemical,Time,Temperature,P2O3ratio,Cat_Success,Na,Cu,O,Fe,Mn,Ni,TM_ionic_pot,Na_ionic_pot,O_ionic_pot,cat_pot,TM_ionic_radii,radial_pot,s_valence,p_valence,d_valence,f_valence,final_charge,mean_electronegativity,std_electronegativity,max_electronegativity,min_electronegativity,range_electronegativity,mean_atomic_mass,std_atomic_mass,mean_atomic_radius,std_atomic_radius,mean_atomic_number,mean_oxidation_state,std_oxidation_state,max_oxidation_state,min_oxidation_state,range_oxidation_state,num_unique_ox_states,ionic_size_mismatch,mean_ionic_radius,mean_electronegativity_difference,ionic_character_estimate,electron_density,total_d_electrons,total_f_electrons,num_elements,shannon_entropy,configurational_entropy,total_entropy,atomic_packing_parameter,mean_coordination_number,atomic_radii_vmr
U00011,NaCu1/3Fe1/3Mn1/3O2,12,950,0.75,Successful,1.0,0.3333333333333333,2.0,0.3333333333333333,0.3333333333333333,0.0,4.026188407840001,0.8620689655172414,3.1746031746031744,1.0933184038531039,0.7749999999999999,0.21045258620689652,4.0,8.0,5.661000000000001,0.0,0.0,2.392658164541135,1.0905397655164963,3.44,0.93,2.51,28.26710209177294,17.562315060017305,1.09576144036009,0.5174331825251646,13.413353338334582,-0.0007501875468867159,2.159957358677982,4,-2,6,5,0.18306383595636402,1.1138347086771692,1.0473418354588644,1.0473418354588644,0.4745482392333951,5.661000000000001,0.0,5,1.3140810423161196,0.0,1.3140810423161196,6.328925633110728,10.66766691672918,0.033512368035058554
U00012,NaCu1/3Fe1/3Ni1/3O2,12,950,-1.0,Unsuccessful,1.0,0.3333333333333333,2.0,0.3333333333333333,0.0,0.3333333333333333,4.186515803121658,0.8620689655172414,3.1746031746031744,1.1368555844683814,0.7583333333333332,0.205926724137931,4.0,8.0,6.660000000000001,0.0,-0.0,2.422635658914728,1.071750282111258,3.44,0.93,2.51,28.579813573393345,18.06078859210538,1.0915978994748687,0.5151645571910352,13.66316579144786,-0.0007501875468867159,2.159957358677982,4,-2,6,5,0.19214763721260988,1.109671167791948,1.017364341085271,1.017364341085271,0.4780967497882947,6.660000000000001,0.0,5,1.3140810423161196,0.0,1.3140810423161196,6.307148056273236,10.66766691672918,0.03692071448638874
U00013,NaCu1/3Mn1/3Ni1/3O2,12,950,1.0,Successful,1.0,0.3333333333333333,2.0,0.0,0.3333333333333333,0.3333333333333333,4.226954323361548,0.8620689655172414,3.1746031746031744,1.1478367343611102,0.7551051051051051,0.20505009319664494,4.0,8.0,6.328000000000001,0.0,0.0,2.399319829957489,1.0873219646213617,3.44,0.93,2.51,28.504290688922225,17.948163852360228,1.0915978994748687,0.5151645571910352,13.579894973743436,-0.0010002500625156117,2.178803753484693,4,-2,6,4,0.19155396521606166,1.1088647161790446,1.0406801700425103,1.0406801700425103,0.4764509095146144,6.328000000000001,0.0,5,1.3140810423161196,0.6931426713396501,2.00722371365577,6.293291444418803,10.66766691672918,0.03669292158999615
U00014,NaFe1/3Mn1/3Ni1/3O2,12,950,1.0,Successful,1.0,0.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,4.063080805014907,0.8620689655172414,3.1746031746031744,1.103336597913531,0.7616666666666666,0.20683189655172413,4.0,8.0,5.328,0.0,-0.0,2.3934908727181794,1.0901670206383218,3.44,0.93,2.51,27.86302212178044,16.78456064635883,1.09576144036009,0.5174331825251646,13.330082520630157,-0.0007501875468867714,2.1599573586779823,4,-2,6,5,0.18742972656133364,1.1105038759689922,1.04650912728182,1.04650912728182,0.4784417372211886,5.328,0.0,5,1.3140810423161196,0.0,1.3140810423161196,6.298678746700221,10.66766691672918,0.0351299023988563
U00015,NaCu0.25Fe0.25Mn0.25Ni0.25O2,12,950,0.82,Successful,1.0,0.25,2.0,0.25,0.25,0.25,4.1303204020301845,0.8620689655172414,3.1746031746031744,1.121595626413369,0.7625000000000001,0.20705818965517248,4.0,8.0,6.0,0.0,0.0,2.4018749999999995,1.08494941558351,3.44,0.93,2.51,28.3110451325,17.602524815600532,1.09375,0.5162590798232995,13.5,0.0,2.165063509461097,4,-2,6,5,0.18766299136072487,1.110625,1.038125,1.038125,0.4768456952690353,6.0,0.0,6,1.3862943605198907,0.6931471803599453,2.079441540879836,6.301687389863669,10.625,0.0352173983264555
U00016,Na0.75CuO2,12,950,-1.0,Unsuccessful,0.75,1.0,2.0,0.0,0.0,0.0,2.2988505747126435,0.646551724137931,3.1746031746031744,0.46819262782401905,0.87,0.1771875,4.0,8.0,9.0,0.0,-1.25,2.527333333333333,1.0293134713109617,3.44,0.93,2.51,30.076567189333332,20.358148136320683,1.04,0.49436828377233105,14.2,-0.33333333333333337,1.8135294011647258,2,-2,4,3,0.14513706933468273,1.1360000000000001,0.9126666666666667,0.9126666666666667,0.48321117373021166,9.0,0.0,3,1.009613757874038,0.0,1.009613757874038,6.51209096325859,10.933333333333334,0.0210647688950605
U00017,Na0.75FeO2,12,950,-1.0,Unsuccessful,0.75,0.0,2.0,1.0,0.0,0.0,3.821656050955414,0.646551724137931,3.1746031746031744,0.7783329672743247,0.785,0.15987607758620692,4.0,8.0,5.0,0.0,-0.25,2.5086666666666666,1.0410883194469567,3.44,0.93,2.51,28.022967189333333,16.987820394047233,1.0533333333333332,0.5031456603763522,13.4,-0.06666666666666665,2.1746008573733455,3,-2,5,3,0.18110679203397143,1.1133333333333333,0.9313333333333333,0.9313333333333333,0.48055819983947384,5.0,0.0,3,1.009613757874038,0.0,1.009613757874038,6.316875048664983,10.4,0.03279967012083617
U00018,Na0.75MnO2,12,950,0.85,Successful,0.75,0.0,2.0,0.0,1.0,0.0,4.358779351649396,0.646551724137931,3.1746031746031744,0.887725536057905,0.75625,0.15402074353448275,4.0,8.0,3.75,0.0,0.0,2.434,1.0956933877686768,3.44,0.93,2.51,27.781112522666668,16.5918390305897,1.0533333333333332,0.5031456603763522,13.133333333333333,5.551115123125783e-17,2.280350850198276,4,-2,6,4,0.19366592518255255,1.1056666666666666,1.006,1.006,0.47274324678746465,3.75,0.0,3,1.009613757874038,0.5623351444188083,1.5719489022928463,6.259654370233487,10.4,0.03750649057681404
U00019,Na0.75NiO2,12,950,-1.0,Unsuccessful,0.75,0.0,2.0,0.0,0.0,1.0,4.935872522347454,0.646551724137931,3.1746031746031744,1.0052585201763673,0.69875,0.1423100754310345,4.0,8.0,6.75,0.0,0.0,2.53,1.02769645323899,3.44,0.93,2.51,28.782540522666665,18.232893549258097,1.04,0.49436828377233105,13.933333333333334,-1.1102230246251565e-16,2.32379000772445,4,-2,6,4,0.21937669828080475,1.0903333333333334,0.91,0.91,0.4840897669321661,6.75,0.0,3,1.009613757874038,0.6615632379579821,1.6711769958320202,6.157621885473153,10.4,0.048126135748587234
U00020,Na0.75Cu0.5Fe0.5O2,12,950,-1.0,Unsuccessful,0.75,0.5,2.0,0.5,0.0,0.0,3.060253312834029,0.646551724137931,3.1746031746031744,0.6232627975491719,0.8275,0.16853178879310346,4.0,8.0,7.0,0.0,-0.75,2.518,1.0352597097669098,3.44,0.93,2.51,29.04976718933333,18.776965592991647,1.0466666666666669,0.4988208317845419,13.8,-0.20000000000000007,2.006655592438988,3,-2,5,4,0.16406781595149783,1.1246666666666667,0.922,0.922,0.4819315731088063,7.0,0.0,4,1.194453005923357,0.0,1.194453005923357,6.414483005961786,10.666666666666668,0.02691824823109457
U00021,Na0.75Cu0.5Mn0.5O2,12,950,1.0,Successful,0.75,0.5,2.0,0.0,0.5,0.0,4.607310859495625,0.646551724137931,3.1746031746031744,0.9383424056515876,0.76419,0.15563783405172416,4.0,8.0,5.7509999999999994,0.0,-0.0,2.4806666666666666,1.0640455295187743,3.44,0.93,2.51,28.928839856,18.606153202915664,1.0466666666666669,0.4988208317845419,13.666666666666668,-0.0002666666666667761,2.3938253756046803,7,-2,9,5,0.19646982906811314,1.107784,0.9593333333333333,0.9593333333333333,0.47243281795480424,5.7509999999999994,0.0,4,1.194453005923357,0.4494866483477561,1.6439396542711129,6.303702099933348,10.666666666666668,0.0386003937340536
U00022,Na0.75Cu0.5Ni0.5O2,12,950,-1.0,Unsuccessful,0.75,0.5,2.0,0.0,0.0,0.5,4.375231738969225,0.646551724137931,3.1746031746031744,0.8910762916650684,0.745,0.15172952586206898,4.0,8.0,7.5,0.0,-0.25,2.5286666666666666,1.0285061443126573,3.44,0.93,2.51,29.429553856,19.335587077019113,1.04,0.49436828377233105,14.066666666666666,-0.06666666666666676,2.2350739485653612,4,-2,6,4,0.20708060077494117,1.1026666666666667,0.9113333333333333,0.9113333333333333,0.4802428675095894,7.5,0.0,4,1.194453005923357,0.0,1.194453005923357,6.277420973352441,10.666666666666668,0.042882375217310566
U00023,Na0.75Fe0.5Mn0.5O2,12,950,1.0,Successful,0.75,0.0,2.0,0.5,0.5,0.0,4.358779351649396,0.646551724137931,3.1746031746031744,0.887725536057905,0.75625,0.15402074353448275,4.0,8.0,4.25,0.0,0.0,2.4713333333333334,1.0693915196139447,3.44,0.93,2.51,27.902039856,16.791432502876297,1.0533333333333332,0.5031456603763522,13.266666666666667,0.0,2.2803508501982757,4,-2,6,4,0.19413085970269345,1.1056666666666666,0.9686666666666667,0.9686666666666667,0.4754730025164748,4.25,0.0,4,1.194453005923357,0.6931471803599453,1.887600186283302,6.2617490598601915,10.400000000000002,0.037686790688906846
U00024,Na0.75Fe0.5Ni0.5O2,12,950,-1.0,Unsuccessful,0.75,0.0,2.0,0.5,0.0,0.5,4.631387683464493,0.646551724137931,3.1746031746031744,0.9432459829469713,0.72875,0.14841998922413793,4.0,8.0,5.75,0.0,0.0,2.5193333333333334,1.0344690532936314,3.44,0.93,2.51,28.402753855999997,17.62544928141323,1.0466666666666666,0.4988208317845419,13.666666666666668,0.0,2.2949219304078006,4,-2,6,5,0.20755541556735643,1.0983333333333332,0.9206666666666667,0.9206666666666667,0.4811739993930068,5.75,0.0,4,1.194453005923357,0.5623351444188083,1.7567881503421652,6.21657067112025,10.400000000000002,0.043079250531338015
U00025,Na0.75Mn0.5Ni0.5O2,12,950,1.0,Successful,0.75,0.0,2.0,0.0,0.5,0.5,4.695140697600222,0.646551724137931,3.1746031746031744,0.9562301636276316,0.72375,0.14740167025862072,4.0,8.0,5.25,0.0,0.0,2.4819999999999998,1.0633230929496453,3.44,0.93,2.51,28.281826522666666,17.438878384448486,1.0466666666666666,0.4988208317845419,13.533333333333335,-2.7755575615628914e-17,2.32379000772445,4,-2,6,4,0.2096333193822917,1.097,0.9580000000000001,0.9580000000000001,0.47851694877227785,5.25,0.0,4,1.194453005923357,0.5623351444188083,1.7567881503421652,6.207013335402792,10.400000000000002,0.043946128595237915
U00026,Na0.75Cu0.3Fe0.3Mn0.3O2,12,950,0.95,Successful,0.75,0.3,2.0,0.3,0.3,0.0,4.669659450386984,0.646551724137931,3.1746031746031744,0.9510405561671768,0.7607666666666668,0.15494062500000005,4.0,8.0,4.550999999999999,0.0,-0.0,2.51,1.0635853038802938,3.44,0.93,2.51,27.819134372602733,17.64251040036068,1.0397260273972602,0.5039541526296927,13.219178082191778,-0.0002739726027397582,2.5367976645157255,7,-2,9,6,0.19079869693981152,1.1163534246575342,0.93,0.93,0.4751927891693675,4.550999999999999,0.0,5,1.270903253974479,0.6687480866518094,1.9396513406262883,6.413037399596728,10.684931506849317,0.036404142753930044
