HMS,StructuredFormula,Temperature,Pressure,crystal_system
P 4/n b m Z,Ce1Mn0.5Co1.5Ge4O12,293,0.101325,tetragonal
P 4/n b m Z,Ce1Mn1.5Ni0.5Ge4O12,293,0.101325,tetragonal
P 42/m n m,Y1Sr1Ca1Mn2O7,298,0.101325,tetragonal
P 42/m n m,Y1Sr2Mn2O5.5F3.5,298,0.101325,tetragonal
I 4/m m m,Ba2Mn1O2Ag2Te2,293,0.101325,tetragonal
I 4/m m m,Ag3.71Ba4Mn2O4Se4,298,0.101325,tetragonal
I 4/m m m,La1.4Sr1.52Ca0.08Mn2O7,293,0.101325,tetragonal
I 4/m m m,La0.5Sr1.5Mn0.5Fe0.5O4,293,0.101325,tetragonal
I 4/m m m,Nd0.5Sr1.5Mn0.5Fe0.5O4,293,0.101325,tetragonal
I 4/m m m,Gd0.5Sr1.5Mn0.5Fe0.5O4,293,0.101325,tetragonal
I 4/m m m,Dy0.5Sr1.5Mn0.5Fe0.5O4,293,0.101325,tetragonal
P 4/n m m Z,Mn1Nd0.95Sr0.05O1As1,290,0.101325,tetragonal
P 4/n m m Z,Mn1Nd0.9Sr0.1O1As1,290,0.101325,tetragonal
P 42/n m c Z,Gd1Mn1Ga1Ti1O6,295,0.101325,tetragonal
P 42/n m c Z,Sm1Mn1Ga1Ti1O6,295,0.101325,tetragonal
I 4/m c m,Sr0.6Ca0.3Ce0.1Mn1O3,293,0.101325,tetragonal
I 4/m m m,La0.8Sr1.2Co0.5Mn0.5O3.6,293,0.101325,tetragonal
I 4/m m m,La1Sr1Co0.5Mn0.5O3.75,293,0.101325,tetragonal
I 4/m m m,La1.2Sr0.8Co0.5Mn0.5O3.85,293,0.101325,tetragonal
I 4/m m m,Ca4Mn1.36Fe1.64O8Cl2,293,0.101325,tetragonal
I 4/m m m,La1Sr2Co1Mn1O7,295,0.101325,tetragonal
I 4/m m m,La1.2Sr1.8Co1Mn1O7,295,0.101325,tetragonal
I 4/m m m,La1Sr2Co1Mn1O6,295,0.101325,tetragonal
I 4/m m m,La1.2Sr1.8Co1Mn1O6,295,0.101325,tetragonal
I 4/m m m,Sr2Mn1O2Cu1.52Se2,298,0.101325,tetragonal
I 4/m m m,Sr2Mn1O2Ag1.44Se2,298,0.101325,tetragonal
I 4/m m m,Pr0.5Sr1.5Co0.5Mn0.5O4,293,0.101325,tetragonal
I 4/m m m,Pr1.13Sr0.87Co0.5Mn0.5O4,293,0.101325,tetragonal
I 4/m c m,Mn0.28Ba12B7.44O22.32F2.24,293,0.101325,tetragonal
P 42/m b c,Bi4Fe4.2Mn0.8O13F1,293,0.101325,tetragonal
I 4/m,Ba1.3La0.7Mn1Sb1O6,300,0.101325,tetragonal
I 4/m,Ba1.4La0.6Mn1Sb1O6,300,0.101325,tetragonal
I 4/m,Ba1.5La0.5Mn1Sb1O6,300,0.101325,tetragonal
I 4/m,Ba1.6La0.4Mn1Sb1O6,300,0.101325,tetragonal
I 4/m,Ba1.7La0.3Mn1Sb1O6,300,0.101325,tetragonal
P 4/n b m Z,Y1Mn1Fe1Ge4O12,293,0.101325,tetragonal
P 4/n b m Z,Eu1Mn1Fe1Ge4O12,293,0.101325,tetragonal
P 4/n b m Z,Lu1Mn1Fe1Ge4O12,293,0.101325,tetragonal
P 4/n m m Z,Nd1Mn1As1O0.95F0.05,290,0.101325,tetragonal
I 4/m c m,Ca0.2Sr0.6Nd0.2Mn1O3,293,0.101325,tetragonal
I 41/a c d Z,Al1.97Fe0.03Mn3Si2.61O12,293,0.101325,tetragonal
P 4 b m,Ba2Mn1Si2O7Cl1,300,0.101325,tetragonal
I 41/a c d Z,Mn6.3Ga0.7Ge0.4Si0.6O12,300,0.101325,tetragonal
P 4/m m m,Y1Ba1Co1Mn1O5,295,0.101325,tetragonal
P 42/m n m,Rb1K1Mn1V2O7,293,0.101325,tetragonal
P 4/m m m,Nd0.75Pr0.25Ba1Mn2O6,293,0.101325,tetragonal
P 4/m m m,Nd0.5Pr0.5Ba1Mn2O6,293,0.101325,tetragonal
P 4/m m m,Nd0.25Pr0.75Ba1Mn2O6,293,0.101325,tetragonal
P 42/n b c Z,Mn0.56Ca0.3Zn0.12Te2O5,293,0.101325,tetragonal
