UID,Chemical,Time,Temperature,P2O3ratio,Na,Cu,O,Fe,Mn,Ni,Ti,Al,Mg,Zn,Si,Zr,Li,Co,V,Cr,Sn,Sb,Sc,TM_ionic_pot,Na_ionic_pot,O_ionic_pot,cat_pot,TM_ionic_radii,radial_pot,s_valence,p_valence,d_valence,f_valence,final_charge,mean_electronegativity,std_electronegativity,max_electronegativity,min_electronegativity,range_electronegativity,mean_atomic_mass,std_atomic_mass,mean_atomic_radius,std_atomic_radius,mean_atomic_number,mean_oxidation_state,std_oxidation_state,max_oxidation_state,min_oxidation_state,range_oxidation_state,num_unique_ox_states,ionic_size_mismatch,mean_ionic_radius,mean_electronegativity_difference,ionic_character_estimate,electron_density,total_d_electrons,total_f_electrons,num_elements,shannon_entropy,configurational_entropy,total_entropy,atomic_packing_parameter,mean_coordination_number,atomic_radii_vmr
D00021,Na0.84Ni0.20Fe0.40Mn0.40O2,24,950,0.0,0.84,0.0,2.0,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.176235196275915,0.7241379310344828,3.1746031746031744,0.49640675252983385,0.922,0.21031137931034485,4.0,8.0,6.0,0.0,-1.16,2.4466666666666668,1.0749240929272892,3.44,0.93,2.51,27.958881300833333,16.909118381896818,1.0682291666666668,0.5083223935810542,13.343750000000002,-0.3020833333333333,1.8034676763729987,2.0,-2.0,4.0,3.0,0.12462109372785948,1.1501041666666667,0.9933333333333334,0.9933333333333334,0.4880679304191835,6.0,0.0,5.0,1.297316806742309,0.0,1.297316806742309,6.657129124369611,10.854166666666668,0.01553041700192794
D00022,Na0.67Ni0.33Mn0.67O2,20,900,1.0,0.67,0.0,2.0,0.0,0.67,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7736957908638065,0.5775862068965518,3.1746031746031744,0.8685245660877643,0.7239500000000001,0.131715213362069,4.0,8.0,4.66,0.0,0.0,2.499155313351499,1.0618769539127686,3.44,0.93,2.51,28.22323094485014,17.326355773005076,1.0325613079019074,0.49315033652602136,13.449591280653951,0.0,2.371492821333195,4.0,-2.0,6.0,5.0,0.21332226133538038,1.0956811989100819,0.9408446866485012,0.9408446866485012,0.47654328829095594,4.66,0.0,4.0,1.1683672050486011,0.07757003749329316,1.2459372425418942,6.207063365423312,10.544959128065395,0.04550638718124032
D00023,Na0.66Li0.18Mn0.8Fe0.2O2,6,1000,1.0,0.66,0.0,2.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,4.365414963399562,0.5689655172413793,3.1746031746031744,0.782387733526525,0.786949152542373,0.14104028345996497,4.0,8.0,4.04,0.0,0.0,2.415677083333333,1.0938252640274984,3.44,0.93,2.51,26.963766595000003,17.04692638579826,1.0544270833333333,0.49145689546472576,12.760416666666668,1.387778780781446e-16,2.2220486043288976,4.0,-2.0,6.0,4.0,0.19284286258203584,1.0974479166666666,1.0243229166666667,1.0243229166666667,0.47324310651142054,4.04,0.0,5.0,1.2665692339354542,0.500402423338188,1.766971657273642,6.122692756669817,10.25,0.037188369648833965
D00024,Na0.80Li0.13Ni0.20Mn0.67O2,18,900,1.0,0.8,0.0,2.0,0.0,0.67,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,4.604887223260058,0.6896551724137931,3.1746031746031744,1.0003720519495989,0.7330500000000001,0.15924879310344833,4.0,8.0,3.62,0.0,0.0,2.413657894736842,1.1104098526484378,3.44,0.93,2.51,26.27371462473684,16.45605864072754,1.062236842105263,0.5066157026993998,12.510526315789473,0.0,2.3158492815243483,4.0,-2.0,6.0,5.0,0.20680930757177476,1.1002763157894737,1.0263421052631578,1.0263421052631578,0.47616130777376814,3.62,0.0,5.0,1.2422791556393988,0.07757003749329316,1.3198491931326921,6.240922713315196,10.594736842105261,0.04277008969831693
D00025,Na0.80Li0.13Ni0.20Fe0.05Mn0.62O2,18,900,0.93,0.8,0.0,2.0,0.05,0.62,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,4.5997869821292,0.6896551724137931,3.1746031746031744,0.999264068531516,0.7334499999999999,0.1593356896551724,4.0,8.0,3.67,0.0,0.0,2.417342105263158,1.1080001134408974,3.44,0.93,2.51,26.285648243157897,16.477156465625278,1.062236842105263,0.5066157026993999,12.523684210526316,-3.8163916471489756e-17,2.3135754967036126,4.0,-2.0,6.0,5.0,0.2062945497651141,1.1003815789473685,1.0226578947368419,1.0226578947368419,0.4764457050735359,3.67,0.0,6.0,1.289081482024211,0.32508297319144824,1.614164455215659,6.239967703498785,10.594736842105263,0.04255744126279114
D00026,Na0.80Li0.13Ni0.20Fe0.10Mn0.57O2,18,900,0.59,0.8,0.0,2.0,0.1,0.57,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,4.593411680715627,0.6896551724137931,3.1746031746031744,0.997879089258912,0.7339500000000001,0.15944431034482762,4.0,8.0,3.72,0.0,0.0,2.421026315789474,1.1055728447718645,3.44,0.93,2.51,26.29758186157895,16.498218678870543,1.0622368421052633,0.5066157026993999,12.536842105263158,4.8572257327350605e-17,2.3107301192935807,4.0,-2.0,6.0,5.0,0.20569451762200522,1.1005131578947371,1.0189736842105264,1.0189736842105264,0.4767298442591644,3.72,0.0,6.0,1.3165808194938329,0.5331638405372987,1.8497446600311316,6.2390543916529655,10.489473684210527,0.04231023457974941
D00027,Na0.80Li0.13Ni0.20Fe0.15Mn0.52O2,18,900,0.38,0.8,0.0,2.0,0.15,0.52,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,4.587036379302055,0.6896551724137931,3.1746031746031744,0.9964941099863087,0.73445,0.1595529310344828,4.0,8.0,3.77,0.0,0.0,2.4247105263157893,1.1031279309284394,3.44,0.93,2.51,26.309515479999998,16.51924541667904,1.0622368421052628,0.5066157026993998,12.549999999999997,1.249000902703301e-16,2.30788123383195,4.0,-2.0,6.0,5.0,0.20523886238848424,1.100644736842105,1.0152894736842104,1.0152894736842104,0.477013725681884,3.77,0.0,6.0,1.3360396268984183,0.6474466388346325,1.9834862657330508,6.238854537048905,10.489473684210525,0.042122990634519165
D00028,Na0.85Li0.08Ni0.30Mn0.62O2,24,1000,1.0,0.85,0.0,2.0,0.0,0.62,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,4.491788060439622,0.7327586206896552,3.1746031746031744,1.0367898734333698,0.7375499999999999,0.17024052801724138,4.0,8.0,4.27,0.0,0.0,2.4111428571428575,1.1026272016532164,3.44,0.93,2.51,26.951945918961034,16.69550861100487,1.0698701298701296,0.5089727201795752,12.854545454545452,1.1102230246251563e-16,2.2780716383841817,4.0,-2.0,6.0,5.0,0.20311270996861405,1.1022207792207792,1.0288571428571427,1.0288571428571427,0.47694313031038393,4.27,0.0,5.0,1.2471586175088667,0.08256493783586594,1.3297235553447326,6.25097596547983,10.638961038961039,0.04125477295079433
D00029,Na0.66Ni0.33Mn0.66O2,24,1000,1.0,0.66,0.0,2.0,0.0,0.66,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.156005465159608,0.5689655172413793,3.1746031746031744,0.38640822086782983,0.9233333333333332,0.16548362068965516,4.0,8.0,5.94,0.0,-1.36,2.506054794520548,1.06042420938362,3.44,0.93,2.51,28.164377924602746,17.315130856536772,1.0294520547945207,0.4924801377288445,13.424657534246577,-0.37260273972602753,1.8217303436359622,2.0,-2.0,4.0,3.0,0.1282181847299678,1.1506027397260274,0.933945205479452,0.933945205479452,0.4898833665315977,5.94,0.0,4.0,1.1654243428112876,0.0,1.1654243428112876,6.681404124135152,10.734246575342466,0.01643990289544815
D00030,Na0.66Li0.18Mn0.71Mg0.21Co0.08O2,12,850,1.0,0.66,0.0,2.0,0.0,0.71,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.18,0.08,0.0,0.0,0.0,0.0,0.0,4.549360790902745,0.5689655172413793,3.1746031746031744,0.8153552658867939,0.778813559322034,0.13958218877849216,4.0,8.0,2.95,0.0,0.0,2.39484375,1.1105966754794188,3.44,0.93,2.51,25.324516998645834,15.741805453546547,1.0588541666666667,0.4951454327427168,12.0390625,-5.5511151231257815e-17,2.2557796139398607,4.0,-2.0,6.0,5.0,0.19953432119475714,1.0949479166666667,1.0451562499999998,1.0451562499999998,0.47539159387102076,2.95,0.0,6.0,1.337548404276669,0.656900693345218,1.994449097621887,6.116920297566076,10.401041666666666,0.039813945334652504
