UID,Chemical,Time,Temperature,P2O3ratio,Cat_Success,Na,Cu,O,Fe,Mn,Ni,Cu_avg_ox_state,Cu_avg_ionic_radius,Cu_ionic_potential,Cu_ox_state_range,Cu_avg_d_electrons,Fe_avg_ox_state,Fe_avg_ionic_radius,Fe_ionic_potential,Fe_ox_state_range,Fe_avg_d_electrons,Mn_avg_ox_state,Mn_avg_ionic_radius,Mn_ionic_potential,Mn_ox_state_range,Mn_avg_d_electrons,Ni_avg_ox_state,Ni_avg_ionic_radius,Ni_ionic_potential,Ni_ox_state_range,Ni_avg_d_electrons
U00036,Na0.5Cu0.5Mn0.5O2,12,950,1.0,Successful,0.5,0.5,2.0,0.0,0.5,0.0,2.0,0.87,2.2988505747126435,0.0,9.0,,,,,,5.002000000000001,0.6466200000000001,7.735609786273236,3.0,1.9980000000000002,,,,,
U00037,Na0.5Cu0.5Ni0.5O2,12,950,-1.0,Unsuccessful,0.5,0.5,2.0,0.0,0.0,0.5,2.0,0.87,2.2988505747126435,0.0,9.0,,,,,,,,,,,4.0,0.62,6.451612903225807,0.0,6.0
U00038,Na0.5Fe0.5Mn0.5O2,12,950,1.0,Successful,0.5,0.0,2.0,0.5,0.5,0.0,,,,,,3.0,0.785,3.821656050955414,0.0,5.0,4.0,0.67,5.970149253731343,0.0,3.0,,,,,
U00039,Na0.5Fe0.5Ni0.5O2,12,950,-1.0,Unsuccessful,0.5,0.0,2.0,0.5,0.0,0.5,,,,,,3.0,0.785,3.821656050955414,0.0,5.0,,,,,,4.0,0.62,6.451612903225807,0.0,6.0
U00040,Na0.5Mn0.5Ni0.5O2,12,950,1.0,Successful,0.5,0.0,2.0,0.0,0.5,0.5,,,,,,,,,,,4.0,0.67,5.970149253731343,0.0,3.0,3.0,0.725,4.137931034482759,2.0,7.0
U00041,Na0.5Cu1/3Fe1/3Mn1/3O2,12,950,1.0,Successful,0.5,0.3333333333333333,2.0,0.3333333333333333,0.3333333333333333,0.0,2.0,0.87,2.2988505747126435,0.0,9.0,3.0,0.785,3.821656050955414,0.0,5.0,5.495495495495495,0.6351051051051051,8.652891389663814,3.0,1.5045045045045045,,,,,
U00042,Na0.5Cu1/3Fe1/3Ni1/3O2,12,950,-1.0,Unsuccessful,0.5,0.3333333333333333,2.0,0.3333333333333333,0.0,0.3333333333333333,2.0,0.87,2.2988505747126435,0.0,9.0,3.0,0.785,3.821656050955414,0.0,5.0,,,,,,4.0,0.62,6.451612903225807,0.0,6.0
U00043,Na0.5Cu1/3Mn1/3Ni1/3O2,12,950,1.0,Successful,0.5,0.3333333333333333,2.0,0.0,0.3333333333333333,0.3333333333333333,2.0,0.87,2.2988505747126435,0.0,9.0,,,,,,4.495495495495495,0.6584384384384385,6.827510717869195,3.0,2.5045045045045047,4.0,0.62,6.451612903225807,0.0,6.0
U00044,Na0.5Fe1/3Mn1/3Ni1/3O2,12,950,1.0,Successful,0.5,0.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,3.0,0.785,3.821656050955414,0.0,5.0,4.0,0.67,5.970149253731343,0.0,3.0,3.501501501501501,0.6723423423423424,5.207914600920094,2.0,6.498498498498498
U00045,Na0.5Cu0.25Fe0.25Mn0.25Ni0.25O2,12,950,1.0,Successful,0.5,0.25,2.0,0.25,0.25,0.25,2.0,0.87,2.2988505747126435,0.0,9.0,3.0,0.785,3.821656050955414,0.0,5.0,4.996,0.6467600000000001,7.724658296740676,3.0,2.004,4.0,0.62,6.451612903225807,0.0,6.0
