UID,Chemical,Time,Temperature,P2O3ratio,Cat_Success
U00143,NaFe2/3Ni1/6Mn1/6O2,12,950,-1.0,Unsuccessful
U00144,NaCu2/3Fe1/6Mn1/6O2,12,950,0.72,Successful
U00145,NaCu2/3Ni1/6Fe1/6O2,12,950,-1.0,Unsuccessful
U00146,NaCu2/3Ni1/6Mn1/6O2,12,950,1.0,Successful
U00147,NaNi2/3Fe1/6Mn1/6O2,12,950,0.0,Successful
U00148,NaCu2/3Ni1/9Mn1/9Fe1/9O2,12,950,0.0,Successful
U00149,NaFe2/3Cu1/9Mn1/9Ni1/9O2,12,950,0.0,Successful
U00150,NaNi2/3Fe1/9Cu1/9Mn1/9O2,12,950,0.0,Successful
U00151,NaMn2/3Cu1/9Fe1/9Ni1/9O2,12,950,1.0,Successful
U00152,NaMn1/9Cu8/27Fe8/27Ni8/27O2,12,950,-1.0,Unsuccessful
U00153,NaNi1/9Cu8/27Fe8/27Mn8/27O2,12,950,0.81,Successful
U00154,NaFe1/9Mn8/27Cu8/27Ni8/27O2,12,950,1.0,Successful
U00155,NaCu1/9Mn8/27Fe8/27Ni8/27O2,12,950,0.92,Successful
U00156,NaFe7/18Ni7/18Cu1/9Mn1/9O2,12,950,-1.0,Unsuccessful
U00157,NaCu7/18Ni7/18Fe1/9Mn1/9O2,12,950,-1.0,Unsuccessful
U00158,NaFe7/18Mn7/18Cu1/9Ni1/9O2,12,950,0.78,Successful
U00159,NaCu7/18Fe7/18Mn1/9Ni1/9O2,12,950,0.17,Successful
U00160,NaMn7/18Ni7/18Fe1/9Cu1/9O2,12,950,1.0,Successful
U00161,NaCu7/18Mn7/18Fe1/9Ni1/9O2,12,950,1.0,Successful
U00162,Na0.75Mn2/3Cu1/6Fe1/6O2,12,950,1.0,Successful
U00163,Na0.75Ni2/3Fe1/6Cu1/6O2,12,950,-1.0,Unsuccessful
U00164,Na0.75Mn2/3Ni1/6Cu1/6O2,12,950,1.0,Successful
U00165,Na0.75Mn2/3Fe1/6Ni1/6O2,12,950,1.0,Successful
U00166,Na0.75Fe2/3Cu1/6Mn1/6O2,12,950,0.43,Successful
U00167,Na0.75Fe2/3Cu1/6Ni1/6O2,12,950,-1.0,Unsuccessful
U00168,Na0.75Ni2/3Cu1/6Mn1/6O2,12,950,1.0,Successful
U00169,Na0.75Fe2/3Ni1/6Mn1/6O2,12,950,-1.0,Unsuccessful
U00170,Na0.75Cu2/3Fe1/6Mn1/6O2,12,950,1.0,Successful
U00171,Na0.75Cu2/3Ni1/6Fe1/6O2,12,950,-1.0,Unsuccessful
U00172,Na0.75Cu2/3Ni1/6Mn1/6O2,12,950,1.0,Successful
U00173,Na0.75Ni2/3Fe1/6Mn1/6O2,12,950,0.0,Successful
U00174,Na0.75Cu2/3Ni1/9Mn1/9Fe1/9O2,12,950,1.0,Successful
U00175,Na0.75Fe2/3Cu1/9Mn1/9Ni1/9O2,12,950,0.0,Successful
U00176,Na0.75Ni2/3Fe1/9Cu1/9Mn1/9O2,12,950,0.6,Successful
U00177,Na0.75Mn2/3Cu1/9Fe1/9Ni1/9O2,12,950,1.0,Successful
U00178,Na0.75Mn1/9Cu8/27Fe8/27Ni8/27O2,12,950,0.92,Successful
U00179,Na0.75Ni1/9Cu8/27Fe8/27Mn8/27O2,12,950,0.82,Successful
U00180,Na0.75Fe1/9Mn8/27Cu8/27Ni8/27O2,12,950,1.0,Successful
U00181,Na0.75Cu1/9Mn8/27Fe8/27Ni8/27O2,12,950,1.0,Successful
U00182,Na0.75Fe7/18Ni7/18Cu1/9Mn1/9O2,12,950,0.78,Successful
U00183,Na0.75Cu7/18Ni7/18Fe1/9Mn1/9O2,12,950,-1.0,Unsuccessful
U00184,Na0.75Fe7/18Mn7/18Cu1/9Ni1/9O2,12,950,0.92,Successful
U00185,Na0.75Cu7/18Fe7/18Mn1/9Ni1/9O2,12,950,0.7,Successful
U00186,Na0.75Mn7/18Ni7/18Fe1/9Cu1/9O2,12,950,1.0,Successful
U00187,Na0.75Cu7/18Mn7/18Fe1/9Ni1/9O2,12,950,1.0,Successful
U00188,Na0.5Mn2/3Cu1/6Fe1/6O2,12,950,1.0,Successful
U00189,Na0.5Ni2/3Fe1/6Cu1/6O2,12,950,-1.0,Unsuccessful
U00190,Na0.5Mn2/3Ni1/6Cu1/6O2,12,950,1.0,Successful
U00191,Na0.5Mn2/3Fe1/6Ni1/6O2,12,950,1.0,Successful
U00192,Na0.5Fe2/3Cu1/6Mn1/6O2,12,950,0.0,Successful
U00193,Na0.5Fe2/3Cu1/6Ni1/6O2,12,950,-1.0,Unsuccessful
U00194,Na0.5Ni2/3Cu1/6Mn1/6O2,12,950,1.0,Successful
U00195,Na0.5Fe2/3Ni1/6Mn1/6O2,12,950,0.0,Successful
U00196,Na0.5Cu2/3Fe1/6Mn1/6O2,12,950,0.0,Successful
U00197,Na0.5Cu2/3Ni1/6Fe1/6O2,12,950,-1.0,Unsuccessful
U00198,Na0.5Cu2/3Ni1/6Mn1/6O2,12,950,1.0,Successful
U00199,Na0.5Ni2/3Fe1/6Mn1/6O2,12,950,0.69,Successful
U00200,Na0.5Cu2/3Ni1/9Mn1/9Fe1/9O2,12,950,0.0,Successful
U00201,Na0.5Fe2/3Cu1/9Mn1/9Ni1/9O2,12,950,0.0,Successful
U00202,Na0.5Ni2/3Fe1/9Cu1/9Mn1/9O2,12,950,0.76,Successful
U00203,Na0.5Mn2/3Cu1/9Fe1/9Ni1/9O2,12,950,1.0,Successful
U00204,Na0.5Mn1/9Cu8/27Fe8/27Ni8/27O2,12,950,-1.0,Unsuccessful
U00205,Na0.5Ni1/9Cu8/27Fe8/27Mn8/27O2,12,950,1.0,Successful
U00206,Na0.5Fe1/9Mn8/27Cu8/27Ni8/27O2,12,950,1.0,Successful
